date,country,age,sex,fatal,activity,type
February,AUSTRALIA,41.0,M,Y,surfing,Unprovoked
February,AUSTRALIA,35.0,M,N,surfing,Unprovoked
February,AUSTRALIA,,M,N,surfing,Unprovoked
January,AUSTRALIA,57.0,M,N,vessel related,
January,USA,20.0,M,N,fishing,Provoked
January,AUSTRALIA,,M,N,surfing,Unprovoked
January,SOUTH AFRICA,24.0,M,N,swimming,Unprovoked
January,USA,,M,N,fishing,
January,AUSTRALIA,,F,,surfing,
January,AUSTRALIA,,M,N,fishing,
January,AUSTRALIA,17.0,M,N,other activity,Unprovoked
January,USA,38.0,M,,swimming,
January,,34.0,F,N,swimming,Unprovoked
January,SOUTH AFRICA,15.0,M,N,surfing,Unprovoked
January,USA,12.0,M,N,other activity,Unprovoked
December,AUSTRALIA,,,N,surfing,Unprovoked
December,AUSTRALIA,17.0,M,Y,fishing,Unprovoked
December,,,,N,other activity,
December,SOUTH AFRICA,,,,swimming,
December,USA,50.0,M,N,surfing,Unprovoked
December,AUSTRALIA,,M,N,fishing,Provoked
December,,,M,N,swimming,Unprovoked
December,AUSTRALIA,17.0,M,Y,fishing,Unprovoked
December,,,M,N,fishing,Provoked
November,AUSTRALIA,13.0,M,N,surfing,Unprovoked
November,,39.0,M,Y,fishing,Provoked
November,AUSTRALIA,,M,N,fishing,
November,USA,,,N,other activity,
November,USA,44.0,M,N,surfing,Unprovoked
November,USA,53.0,M,N,swimming,Unprovoked
November,AUSTRALIA,,M,N,surfing,Unprovoked
November,USA,18.0,M,N,surfing,Unprovoked
October,USA,34.0,F,N,surfing,Unprovoked
October,AUSTRALIA,20.0,M,N,surfing,Provoked
October,USA,,F,N,surfing,Unprovoked
October,USA,,M,N,surfing,Unprovoked
October,USA,,F,N,vessel related,
October,USA,,M,N,surfing,Unprovoked
October,AUSTRALIA,13.0,F,N,surfing,Unprovoked
October,USA,7.0,F,N,Close to the water,Unprovoked
October,USA,,F,N,surfing,Unprovoked
October,AUSTRALIA,,M,N,vessel related,
October,USA,29.0,M,N,surfing,Unprovoked
October,USA,40.0,F,N,fishing,Unprovoked
October,USA,15.0,M,N,surfing,Unprovoked
October,USA,,M,N,vessel related,
October,USA,,M,N,vessel related,
October,USA,28.0,M,N,surfing,Unprovoked
October,AUSTRALIA,23.0,M,N,surfing,Unprovoked
September,USA,,M,N,surfing,Unprovoked
September,,36.0,F,N,other activity,Unprovoked
September,USA,,M,,surfing,
September,AUSTRALIA,50.0,M,Y,swimming,Unprovoked
September,USA,43.0,M,N,fishing,Unprovoked
September,USA,,F,N,vessel related,
September,USA,52.0,M,N,fishing,Provoked
September,,16.0,M,N,other activity,Unprovoked
August,USA,13.0,F,N,surfing,Unprovoked
August,USA,17.0,M,N,surfing,Unprovoked
August,USA,,,,other activity,
August,USA,33.0,M,N,fishing,Provoked
August,,,F,N,swimming,Unprovoked
August,USA,29.0,M,N,surfing,Unprovoked
August,USA,,F,N,Close to the water,Unprovoked
August,USA,,M,N,fishing,Provoked
August,USA,,,N,surfing,Unprovoked
August,AUSTRALIA,31.0,M,N,fishing,Unprovoked
August,USA,,M,N,Close to the water,Unprovoked
August,USA,26.0,M,N,other activity,Unprovoked
August,,,M,N,fishing,Unprovoked
August,USA,10.0,F,N,swimming,Unprovoked
August,USA,7.0,M,N,swimming,Unprovoked
August,USA,10.0,M,N,surfing,Unprovoked
August,USA,45.0,F,N,swimming,Unprovoked
August,USA,,M,N,surfing,Unprovoked
August,USA,8.0,M,N,surfing,Unprovoked
August,SOUTH AFRICA,20.0,M,N,surfing,Unprovoked
August,,,M,,other activity,
July,USA,,M,N,swimming,Unprovoked
July,,51.0,M,N,surfing,Unprovoked
July,USA,8.0,M,N,Close to the water,Unprovoked
July,,,,N,Close to the water,Unprovoked
July,USA,61.0,M,N,swimming,Unprovoked
July,USA,39.0,M,N,swimming,Unprovoked
July,,63.0,M,,swimming,
July,USA,,M,N,surfing,Unprovoked
July,USA,14.0,M,N,surfing,Unprovoked
July,USA,,M,N,swimming,Provoked
July,USA,,M,N,surfing,Unprovoked
July,USA,19.0,M,N,surfing,Unprovoked
June,,48.0,M,N,vessel related,
June,,42.0,M,N,fishing,Unprovoked
June,AUSTRALIA,,M,N,surfing,Unprovoked
June,AUSTRALIA,15.0,M,N,surfing,Unprovoked
June,AUSTRALIA,,M,N,other activity,Provoked
June,,43.0,M,N,fishing,Unprovoked
June,USA,16.0,M,N,Close to the water,Unprovoked
June,AUSTRALIA,39.0,M,N,surfing,Unprovoked
June,,43.0,M,N,surfing,Unprovoked
